"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2020","198.50","198.50","198.50","198.50","-","-0.18%"
"Dec 30, 2020","198.85","198.85","198.85","198.85","-","0.43%"
"Dec 29, 2020","198.00","198.00","198.00","198.00","-","0.87%"
"Dec 24, 2020","196.30","196.30","196.30","196.30","-","-0.36%"
"Dec 23, 2020","197.00","198.00","198.00","198.00","0.01K","0.25%"
"Dec 22, 2020","196.50","196.00","196.00","196.00","0.01K","0.26%"
"Dec 21, 2020","196.00","196.00","196.00","196.00","0.01K","-0.13%"
"Dec 18, 2020","196.25","196.25","196.25","196.25","-","0.93%"
"Dec 17, 2020","194.45","194.45","194.45","194.45","-","0.96%"
"Dec 16, 2020","192.60","192.60","192.60","192.60","-","-0.52%"
"Dec 15, 2020","193.60","193.60","193.60","193.60","-","-0.18%"
"Dec 14, 2020","193.95","193.95","193.95","193.95","-","-2.27%"
"Dec 11, 2020","198.45","198.45","198.45","198.45","-","3.58%"
"Dec 10, 2020","191.60","190.00","192.00","190.00","0.02K","1.40%"
"Dec 09, 2020","188.95","188.95","188.95","188.95","-","0.19%"
"Dec 08, 2020","188.60","188.60","188.60","188.60","-","0.37%"
"Dec 07, 2020","187.90","187.90","187.90","187.90","-","0.35%"
"Dec 04, 2020","187.25","187.25","187.25","187.25","-","-0.53%"
"Dec 03, 2020","188.25","188.25","188.25","188.25","-","-1.10%"
"Dec 02, 2020","190.35","190.35","190.35","190.35","-","-0.13%"
"Dec 01, 2020","190.60","190.60","190.60","190.60","-","-0.86%"
"Nov 30, 2020","192.25","192.60","192.60","191.00","0.04K","-0.47%"
"Nov 27, 2020","193.15","193.50","193.50","193.50","0.02K","0.42%"
"Nov 26, 2020","192.35","192.35","192.35","192.35","-","0.00%"
"Nov 25, 2020","192.35","192.35","192.35","192.35","-","-0.16%"
"Nov 24, 2020","192.65","192.50","192.50","192.50","0.02K","-0.31%"
"Nov 23, 2020","193.25","193.25","193.25","193.25","-","0.00%"
"Nov 20, 2020","193.25","193.25","193.25","193.25","-","0.44%"
"Nov 19, 2020","192.40","193.50","193.50","193.50","0.00K","1.56%"
"Nov 18, 2020","189.45","188.00","188.00","188.00","0.00K","-1.74%"
"Nov 17, 2020","192.80","193.00","193.00","193.00","0.00K","1.31%"
"Nov 16, 2020","190.30","190.30","190.30","190.30","-","0.16%"
"Nov 13, 2020","190.00","190.00","190.00","190.00","-","0.11%"
"Nov 12, 2020","189.80","189.80","189.80","189.80","-","-0.05%"
"Nov 11, 2020","189.90","189.90","189.90","189.90","-","-0.31%"
"Nov 10, 2020","190.50","190.50","190.50","190.50","-","-0.18%"
"Nov 09, 2020","190.85","190.85","190.85","190.85","-","0.45%"
"Nov 06, 2020","190.00","190.00","190.00","190.00","-","0.00%"
"Nov 05, 2020","190.00","190.00","190.00","190.00","0.02K","0.05%"
"Nov 04, 2020","189.90","190.00","190.00","190.00","0.01K","0.88%"
"Nov 03, 2020","188.25","188.25","188.25","188.25","-","0.13%"
"Nov 02, 2020","188.00","188.00","188.00","188.00","-","-0.03%"
"Oct 30, 2020","188.05","188.05","188.05","188.05","-","0.56%"
"Oct 29, 2020","187.00","188.00","188.00","186.50","0.03K","-0.35%"
"Oct 28, 2020","187.65","187.65","187.65","187.65","-","-0.58%"
"Oct 27, 2020","188.75","189.00","189.00","188.75","0.05K","0.13%"
"Oct 26, 2020","188.50","190.00","190.00","189.00","0.02K","-0.40%"
"Oct 23, 2020","189.25","187.60","190.00","187.60","0.02K","0.88%"
"Oct 22, 2020","187.60","189.00","189.00","187.50","0.10K","-0.21%"
"Oct 21, 2020","188.00","189.00","189.00","188.50","0.03K","0.00%"
"Oct 20, 2020","188.00","188.00","188.00","186.70","0.17K","1.24%"
"Oct 19, 2020","185.70","186.00","186.00","184.75","0.05K","0.16%"
"Oct 16, 2020","185.40","183.40","186.00","183.40","0.04K","1.48%"
"Oct 15, 2020","182.70","181.00","182.75","181.00","0.07K","0.66%"
"Oct 14, 2020","181.50","181.50","181.50","180.00","0.13K","-0.30%"
"Oct 13, 2020","182.05","182.50","182.50","181.80","0.04K","-0.25%"
"Oct 12, 2020","182.50","184.00","184.00","181.50","0.07K","-1.35%"
"Oct 09, 2020","185.00","183.50","185.00","183.50","0.07K","1.15%"
"Oct 08, 2020","182.90","184.00","184.50","182.90","0.12K","-0.54%"
"Oct 07, 2020","183.90","186.00","186.40","183.50","0.21K","-0.86%"
"Oct 06, 2020","185.50","184.95","188.00","184.00","0.17K","0.54%"
"Oct 05, 2020","184.50","184.00","185.00","182.50","0.21K","1.10%"
"Oct 02, 2020","182.50","182.50","183.00","181.00","0.29K","-0.46%"
"Oct 01, 2020","183.35","184.50","185.00","182.75","0.34K","-0.19%"
"Sep 30, 2020","183.70","181.25","184.50","181.00","0.18K","1.94%"
"Sep 29, 2020","180.20","181.85","182.00","180.00","0.25K","-0.88%"
"Sep 28, 2020","181.80","182.00","183.00","179.00","0.13K","-0.52%"
"Sep 25, 2020","182.75","181.00","183.00","181.00","0.37K","0.69%"
"Sep 24, 2020","181.50","179.00","182.00","179.00","0.32K","0.83%"
"Sep 23, 2020","180.00","180.50","181.50","180.00","1.08K","-1.10%"
"Sep 22, 2020","182.00","180.35","181.00","179.00","0.30K","1.79%"
"Sep 21, 2020","178.80","178.65","180.50","178.50","0.24K","-0.25%"
"Sep 18, 2020","179.25","178.75","179.80","177.00","0.27K","1.16%"
"Sep 17, 2020","177.20","175.00","177.20","174.40","0.44K","1.84%"
"Sep 16, 2020","174.00","174.50","174.50","173.50","0.27K","-0.29%"
"Sep 15, 2020","174.50","176.50","176.75","174.50","0.26K","-1.11%"
"Sep 14, 2020","176.45","177.00","177.00","175.50","0.25K","-0.31%"
"Sep 11, 2020","177.00","177.75","178.85","176.00","0.15K","-0.42%"
"Sep 10, 2020","177.75","173.75","178.00","173.75","0.31K","1.92%"
"Sep 09, 2020","174.40","173.25","175.00","173.00","0.31K","0.96%"
"Sep 08, 2020","172.75","171.00","173.00","171.00","0.28K","1.14%"
"Sep 07, 2020","170.80","170.00","171.00","170.00","0.30K","0.62%"
"Sep 04, 2020","169.75","170.00","170.00","169.50","0.45K","0.15%"
"Sep 03, 2020","169.50","169.50","169.75","169.00","0.12K","0.15%"
"Sep 02, 2020","169.25","169.00","169.25","167.75","0.08K","-0.06%"
"Sep 01, 2020","169.35","169.00","169.50","167.75","0.12K","0.21%"
"Aug 28, 2020","169.00","167.05","169.50","167.05","0.22K","0.15%"
"Aug 27, 2020","168.75","167.75","169.00","167.50","0.33K","1.20%"
"Aug 26, 2020","166.75","167.90","167.90","166.50","0.09K","-0.45%"
"Aug 25, 2020","167.50","167.55","167.70","167.00","0.13K","0.81%"
"Aug 24, 2020","166.15","167.00","168.00","166.00","0.09K","-0.06%"
"Aug 21, 2020","166.25","164.75","166.50","164.75","0.22K","1.28%"
"Aug 20, 2020","164.15","164.50","165.00","164.00","0.10K","-0.52%"
"Aug 19, 2020","165.00","164.50","165.00","164.50","0.12K","0.33%"
"Aug 18, 2020","164.45","165.85","166.50","164.00","0.08K","-0.63%"
"Aug 17, 2020","165.50","164.00","166.00","164.00","0.37K","1.10%"
"Aug 14, 2020","163.70","162.50","164.00","162.50","0.24K","0.46%"
"Aug 13, 2020","162.95","163.50","163.50","162.00","0.12K","0.77%"
"Aug 12, 2020","161.70","161.50","162.50","161.50","0.21K","-0.65%"
"Aug 11, 2020","162.75","161.00","162.25","161.00","0.15K","0.93%"
"Aug 10, 2020","161.25","163.00","163.25","161.00","0.43K","-0.86%"
"Aug 07, 2020","162.65","163.05","163.60","162.75","0.06K","-0.55%"
"Aug 06, 2020","163.55","163.50","164.00","162.60","0.30K","-0.27%"
"Aug 05, 2020","164.00","164.15","166.15","163.50","0.07K","0.52%"
"Aug 04, 2020","163.15","163.50","164.30","163.15","0.16K","-0.58%"
"Aug 03, 2020","164.10","164.50","164.50","164.00","0.14K","-1.06%"
"Jul 31, 2020","165.85","166.50","166.50","165.00","0.12K","0.03%"
"Jul 30, 2020","165.80","166.40","166.40","164.00","0.16K","-0.36%"
