Datetime,air_temp_5cm_avg,air_temp_5cm_max,air_temp_5cm_min,air_temp_avg,air_temp_max,air_temp_min,cloud_cover_avg,cloud_cover_max,cloud_cover_min,dew_point_avg,dew_point_max,dew_point_min,ice_acc_period,liquid_acc_period,long_wave_radiation_avg,long_wave_radiation_max,long_wave_radiation_min,pet_period,precip_acc_period,precip_acc_period_adjusted,precip_acc_period_raw,precip_duration,relative_humidity_avg,relative_humidity_max,relative_humidity_min,short_wave_radiation_avg,short_wave_radiation_max,short_wave_radiation_min,snow_acc_period,sunshine_duration,visibility_avg,visibility_max,visibility_min,wind_gust_max,wind_speed_2m_avg,wind_speed_2m_max,wind_speed_2m_min,wind_speed_avg,wind_speed_max,wind_speed_min
2010-01-01,-1.0,1.0,-3.0,-1.0,1.0,-3.0,,,,-2.0,1.0,-3.0,,,2,2,2,-0.036,0.03,0.03,0.03,,95.0,100.0,85.0,2,2,2,,,,,,,8.0,14.0,5.0,11.0,18.0,6.0
2010-01-02,0.0,2.0,-2.0,1.0,3.0,-2.0,,,,0.0,2.0,-3.0,,,2,2,2,0.05,0.96,0.96,0.96,,96.0,99.0,93.0,2,2,2,,,,,,,10.0,13.0,7.0,13.0,17.0,9.0
2010-01-03,-1.0,1.0,-4.0,-1.0,2.0,-3.0,,,,-1.0,1.0,-4.0,,,2,2,2,-0.093,0.48,0.48,0.48,,96.0,100.0,86.0,2,2,2,,,,,,,6.0,9.0,4.0,8.0,12.0,5.0
2010-01-04,-3.0,1.0,-4.0,-3.0,1.0,-5.0,,,,-3.0,0.0,-5.0,,,2,2,2,-0.098,0.0,0.0,0.0,,96.0,100.0,86.0,2,2,2,,,,,,,7.0,9.0,4.0,9.0,11.0,5.0
2010-01-05,-2.0,1.0,-4.0,-2.0,1.0,-4.0,,,,-3.0,0.0,-4.0,,,2,2,2,0.005,0.11,0.11,0.11,,92.0,100.0,80.0,2,2,2,,,,,,,7.0,10.0,4.0,10.0,13.0,5.0
2010-01-06,-2.0,0.0,-5.0,-1.0,0.0,-5.0,,,,-2.0,0.0,-7.0,,,2,2,2,0.02,1.08,1.08,1.08,,95.0,100.0,81.0,2,2,2,,,,,,,9.0,14.0,3.0,12.0,18.0,4.0
2010-01-07,-3.0,0.0,-6.0,-3.0,0.0,-6.0,,,,-4.0,-1.0,-7.0,,,2,2,2,0.04,0.0,0.0,0.0,,95.0,100.0,90.0,2,2,2,,,,,,,13.0,18.0,9.0,18.0,23.0,11.0
2010-01-08,-3.0,-1.0,-5.0,-3.0,-1.0,-5.0,,,,-4.0,-2.0,-6.0,,,2,2,2,0.09,0.0,0.0,0.0,,97.0,100.0,87.0,2,2,2,,,,,,,8.0,11.0,7.0,11.0,14.0,9.0
2010-01-09,-2.0,0.0,-5.0,-2.0,0.0,-5.0,,,,-4.0,0.0,-5.0,,,2,2,2,0.28,0.19,0.19,0.19,,90.0,100.0,70.0,2,2,2,,,,,,,14.0,19.0,9.0,19.0,25.0,11.0
2010-01-10,1.0,1.0,0.0,1.0,1.0,0.0,,,,0.0,1.0,0.0,,,2,2,2,0.13,2.01,2.01,2.01,,98.0,100.0,95.0,2,2,2,,,,,,,14.0,18.0,8.0,19.0,24.0,11.0
2010-01-11,0.0,1.0,0.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,,,2,2,2,0.12,0.1,0.1,0.1,,99.0,100.0,96.0,2,2,2,,,,,,,6.0,10.0,2.0,7.0,14.0,3.0
2010-01-12,0.0,1.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,-1.0,,,2,2,2,0.12,0.0,0.0,0.0,,98.0,100.0,89.0,2,2,2,,,,,,,11.0,19.0,3.0,14.0,25.0,4.0
2010-01-13,0.0,1.0,-1.0,0.0,1.0,-1.0,,,,-1.0,0.0,-2.0,,,2,2,2,0.14,1.03,1.03,1.03,,95.0,100.0,90.0,2,2,2,,,,,,,7.0,14.0,0.0,9.0,18.0,0.0
2010-01-14,1.0,2.0,-1.0,1.0,3.0,-1.0,,,,1.0,2.0,-2.0,,,2,2,2,0.13,6.64,6.64,6.64,,98.0,100.0,96.0,2,2,2,,,,,,,5.0,8.0,2.0,6.0,11.0,2.0
2010-01-15,2.0,4.0,0.0,3.0,5.0,1.0,,,,2.0,4.0,0.0,,,2,2,2,0.05,1.01,1.01,1.01,,98.0,100.0,95.0,2,2,2,,,,,,,9.0,17.0,2.0,12.0,22.0,3.0
2010-01-16,4.0,5.0,2.0,4.0,6.0,2.0,,,,4.0,6.0,1.0,,,2,2,2,0.15,5.76,5.76,5.76,,97.0,99.0,95.0,2,2,2,,,,,,,15.0,22.0,6.0,19.0,30.0,8.0
2010-01-17,4.0,8.0,1.0,5.0,7.0,2.0,,,,4.0,7.0,1.0,,,2,2,2,-0.054,1.38,1.38,1.38,,97.0,100.0,94.0,2,2,2,,,,,,,11.0,16.0,7.0,14.0,21.0,9.0
2010-01-18,4.0,7.0,1.0,4.0,7.0,2.0,,,,4.0,6.0,1.0,,,2,2,2,0.17,0.0,0.0,0.0,,96.0,100.0,92.0,2,2,2,,,,,,,10.0,15.0,4.0,13.0,20.0,5.0
2010-01-19,5.0,6.0,3.0,5.0,6.0,3.0,,,,5.0,6.0,2.0,,,2,2,2,0.14,0.0,0.0,0.0,,98.0,100.0,94.0,2,2,2,,,,,,,8.0,14.0,1.0,10.0,18.0,1.0
2010-01-20,3.0,4.0,2.0,3.0,4.0,2.0,,,,3.0,4.0,2.0,,,2,2,2,0.18,0.0,0.0,0.0,,97.0,100.0,94.0,2,2,2,,,,,,,12.0,18.0,5.0,15.0,24.0,6.0
