Datetime,air_temp_5cm_avg,air_temp_5cm_max,air_temp_5cm_min,air_temp_avg,air_temp_max,air_temp_min,cloud_cover_avg,cloud_cover_max,cloud_cover_min,dew_point_avg,dew_point_max,dew_point_min,ice_acc_period,liquid_acc_period,long_wave_radiation_avg,long_wave_radiation_max,long_wave_radiation_min,pet_period,precip_acc_period,precip_acc_period_adjusted,precip_acc_period_raw,precip_duration,relative_humidity_avg,relative_humidity_max,relative_humidity_min,short_wave_radiation_avg,short_wave_radiation_max,short_wave_radiation_min,snow_acc_period,sunshine_duration,visibility_avg,visibility_max,visibility_min,wind_gust_max,wind_speed_2m_avg,wind_speed_2m_max,wind_speed_2m_min,wind_speed_avg,wind_speed_max,wind_speed_min
2010-01-01,-1.0,1.0,-3.0,-1.0,1.0,-3.0,,,,-3.0,-2.0,-4.0,,,2,2,2,0.14,0.0,0.0,0.0,,86.0,91.0,77.0,2,2,2,,,,,,,8.0,12.0,4.0,11.0,15.0,5.0
2010-01-02,0.0,3.0,-2.0,1.0,4.0,-2.0,,,,-1.0,0.0,-3.0,,,2,2,2,0.13,0.0,0.0,0.0,,87.0,94.0,73.0,2,2,2,,,,,,,8.0,12.0,3.0,10.0,15.0,4.0
2010-01-03,-1.0,1.0,-4.0,-1.0,1.0,-4.0,,,,-2.0,0.0,-5.0,,,2,2,2,0.09,0.0,0.0,0.0,,89.0,96.0,74.0,2,2,2,,,,,,,8.0,12.0,1.0,10.0,16.0,1.0
2010-01-04,-4.0,-1.0,-6.0,-4.0,0.0,-6.0,,,,-5.0,-2.0,-7.0,,,2,2,2,-0.098,0.0,0.0,0.0,,94.0,100.0,87.0,2,2,2,,,,,,,3.0,5.0,2.0,4.0,7.0,2.0
2010-01-05,-2.0,1.0,-6.0,-2.0,1.0,-6.0,,,,-3.0,-1.0,-7.0,,,2,2,2,0.17,2.5,2.5,2.5,,91.0,99.0,81.0,2,2,2,,,,,,,6.0,10.0,2.0,8.0,13.0,2.0
2010-01-06,-2.0,0.0,-7.0,-2.0,0.0,-8.0,,,,-3.0,0.0,-10.0,,,2,2,2,0.12,2.13,2.13,2.13,,94.0,99.0,71.0,2,2,2,,,,,,,14.0,18.0,10.0,18.0,24.0,13.0
2010-01-07,-5.0,-2.0,-8.0,-5.0,-2.0,-9.0,,,,-7.0,-4.0,-13.0,,,2,2,2,0.17,0.0,0.0,0.0,,85.0,98.0,67.0,2,2,2,,,,,,,11.0,15.0,7.0,14.0,20.0,9.0
2010-01-08,-4.0,-1.0,-5.0,-4.0,-1.0,-6.0,,,,-5.0,-2.0,-7.0,,,2,2,2,0.05,0.0,0.0,0.0,,94.0,96.0,92.0,2,2,2,,,,,,,10.0,17.0,6.0,13.0,22.0,8.0
2010-01-09,-3.0,-2.0,-5.0,-3.0,-1.0,-6.0,,,,-4.0,-3.0,-6.0,,,2,2,2,0.15,0.0,0.0,0.0,,90.0,94.0,81.0,2,2,2,,,,,,,15.0,19.0,11.0,20.0,25.0,15.0
2010-01-10,0.0,1.0,-1.0,0.0,1.0,-1.0,,,,-1.0,0.0,-3.0,,,2,2,2,0.35,1.72,1.72,1.72,,90.0,97.0,82.0,2,2,2,,,,,,,14.0,17.0,9.0,19.0,23.0,12.0
