Datetime,air_temp_5cm_avg,air_temp_5cm_max,air_temp_5cm_min,air_temp_avg,air_temp_max,air_temp_min,cloud_cover_avg,cloud_cover_max,cloud_cover_min,dew_point_avg,dew_point_max,dew_point_min,ice_acc_period,liquid_acc_period,long_wave_radiation_avg,long_wave_radiation_max,long_wave_radiation_min,pet_period,precip_acc_period,precip_acc_period_adjusted,precip_acc_period_raw,precip_duration,relative_humidity_avg,relative_humidity_max,relative_humidity_min,short_wave_radiation_avg,short_wave_radiation_max,short_wave_radiation_min,snow_acc_period,sunshine_duration,visibility_avg,visibility_max,visibility_min,wind_gust_max,wind_speed_2m_avg,wind_speed_2m_max,wind_speed_2m_min,wind_speed_avg,wind_speed_max,wind_speed_min
2010-01-01,0.0,2.0,-2.0,0.0,3.0,-3.0,,,,-3.0,-1.0,-4.0,,,2,2,2,0.27,0.06,0.06,0.06,,81.0,92.0,66.0,2,2,2,,,,,,,9.0,13.0,5.0,12.0,17.0,7.0
2010-01-02,0.0,3.0,-2.0,1.0,4.0,-2.0,,,,-1.0,0.0,-4.0,,,2,2,2,0.12,0.0,0.0,0.0,,87.0,97.0,71.0,2,2,2,,,,,,,8.0,11.0,4.0,10.0,14.0,5.0
2010-01-03,-1.0,2.0,-4.0,-1.0,2.0,-3.0,,,,-2.0,0.0,-4.0,,,2,2,2,0.06,0.0,0.0,0.0,,88.0,98.0,69.0,2,2,2,,,,,,,7.0,14.0,3.0,9.0,18.0,4.0
2010-01-04,-3.0,0.0,-5.0,-3.0,1.0,-5.0,,,,-5.0,-3.0,-6.0,,,2,2,2,-0.028,0.0,0.0,0.0,,90.0,97.0,74.0,2,2,2,,,,,,,5.0,6.0,3.0,6.0,8.0,4.0
2010-01-05,-2.0,1.0,-6.0,-2.0,3.0,-6.0,,,,-3.0,1.0,-7.0,,,2,2,2,0.11,2.83,2.83,2.83,,90.0,100.0,72.0,2,2,2,,,,,,,5.0,17.0,1.0,7.0,22.0,2.0
2010-01-06,0.0,0.0,-3.0,0.0,1.0,-3.0,,,,-1.0,0.0,-6.0,,,2,2,2,0.12,2.52,2.52,2.52,,95.0,100.0,83.0,2,2,2,,,,,,,13.0,15.0,8.0,17.0,20.0,11.0
2010-01-07,-3.0,-1.0,-6.0,-4.0,-1.0,-7.0,,,,-6.0,-3.0,-8.0,,,2,2,2,0.19,0.0,0.0,0.0,,86.0,94.0,78.0,2,2,2,,,,,,,9.0,14.0,5.0,12.0,18.0,7.0
2010-01-08,-2.0,0.0,-4.0,-2.0,0.0,-4.0,,,,-4.0,-3.0,-5.0,,,2,2,2,0.13,0.0,0.0,0.0,,89.0,93.0,84.0,2,2,2,,,,,,,10.0,12.0,6.0,13.0,16.0,8.0
2010-01-09,-2.0,0.0,-4.0,-2.0,0.0,-4.0,,,,-5.0,-3.0,-6.0,,,2,2,2,0.54,0.0,0.0,0.0,,81.0,90.0,70.0,2,2,2,,,,,,,16.0,20.0,10.0,21.0,27.0,13.0
2010-01-10,1.0,1.0,0.0,1.0,1.0,0.0,,,,-1.0,0.0,-3.0,,,2,2,2,0.34,1.81,1.81,1.81,,89.0,96.0,81.0,2,2,2,,,,,,,11.0,16.0,6.0,14.0,22.0,7.0
2010-01-11,0.0,1.0,0.0,0.0,1.0,0.0,,,,-1.0,0.0,-2.0,,,2,2,2,0.25,0.0,0.0,0.0,,91.0,98.0,86.0,2,2,2,,,,,,,6.0,8.0,3.0,8.0,11.0,4.0
2010-01-12,0.0,1.0,-1.0,1.0,1.0,0.0,,,,-1.0,0.0,-1.0,,,2,2,2,0.35,0.61,0.61,0.61,,89.0,94.0,84.0,2,2,2,,,,,,,13.0,18.0,4.0,17.0,24.0,6.0
2010-01-13,0.0,1.0,-1.0,0.0,1.0,0.0,,,,0.0,1.0,-1.0,,,2,2,2,0.2,3.29,3.29,3.29,,96.0,100.0,88.0,2,2,2,,,,,,,8.0,16.0,4.0,10.0,21.0,6.0
2010-01-14,1.0,3.0,-1.0,2.0,3.0,1.0,,,,2.0,3.0,1.0,,,2,2,2,0.03,5.87,5.87,5.87,,99.0,100.0,97.0,2,2,2,,,,,,,6.0,8.0,4.0,8.0,11.0,5.0
2010-01-15,2.0,5.0,-1.0,3.0,6.0,-1.0,,,,3.0,5.0,-1.0,,,2,2,2,0.15,0.0,0.0,0.0,,98.0,100.0,94.0,2,2,2,,,,,,,9.0,15.0,1.0,12.0,19.0,2.0
2010-01-16,5.0,7.0,3.0,6.0,8.0,4.0,,,,5.0,7.0,2.0,,,2,2,2,0.18,12.45,12.45,12.45,,96.0,100.0,86.0,2,2,2,,,,,,,15.0,25.0,3.0,19.0,32.0,4.0
2010-01-17,4.0,8.0,1.0,5.0,9.0,1.0,,,,4.0,7.0,1.0,,,2,2,2,0.14,0.0,0.0,0.0,,91.0,100.0,74.0,2,2,2,,,,,,,10.0,13.0,4.0,13.0,17.0,6.0
2010-01-18,3.0,7.0,-1.0,4.0,7.0,0.0,,,,4.0,7.0,0.0,,,2,2,2,0.12,0.0,0.0,0.0,,99.0,100.0,95.0,2,2,2,,,,,,,3.0,6.0,0.0,5.0,8.0,1.0
2010-01-19,5.0,7.0,4.0,5.0,7.0,4.0,,,,4.0,6.0,3.0,,,2,2,2,0.21,0.0,0.0,0.0,,94.0,100.0,82.0,2,2,2,,,,,,,8.0,17.0,1.0,10.0,22.0,1.0
2010-01-20,2.0,4.0,1.0,2.0,4.0,1.0,,,,2.0,3.0,1.0,,,2,2,2,0.2,6.71,6.71,6.71,,95.0,99.0,88.0,2,2,2,,,,,,,10.0,20.0,4.0,13.0,26.0,5.0
2010-01-21,3.0,6.0,0.0,3.0,6.0,-1.0,,,,2.0,5.0,-1.0,,,2,2,2,0.29,0.7,0.7,0.7,,92.0,100.0,79.0,2,2,2,,,,,,,5.0,13.0,0.0,7.0,17.0,0.0
2010-01-22,7.0,8.0,5.0,7.0,8.0,6.0,,,,7.0,8.0,6.0,,,2,2,2,0.12,11.95,11.95,11.95,,99.0,100.0,95.0,2,2,2,,,,,,,12.0,15.0,3.0,15.0,20.0,4.0
2010-01-23,6.0,7.0,4.0,6.0,7.0,4.0,,,,5.0,7.0,2.0,,,2,2,2,0.35,0.0,0.0,0.0,,92.0,100.0,85.0,2,2,2,,,,,,,8.0,10.0,2.0,10.0,14.0,2.0
2010-01-24,4.0,6.0,2.0,4.0,6.0,3.0,,,,2.0,3.0,1.0,,,2,2,2,0.26,0.09,0.09,0.09,,88.0,95.0,76.0,2,2,2,,,,,,,5.0,10.0,3.0,7.0,13.0,4.0
2010-01-25,3.0,5.0,1.0,3.0,4.0,1.0,,,,1.0,3.0,-2.0,,,2,2,2,0.21,0.67,0.67,0.67,,89.0,98.0,80.0,2,2,2,,,,,,,8.0,14.0,3.0,11.0,18.0,4.0
2010-01-26,0.0,3.0,-2.0,1.0,2.0,-2.0,,,,-2.0,0.0,-4.0,,,2,2,2,0.43,0.0,0.0,0.0,,80.0,89.0,65.0,2,2,2,,,,,,,10.0,14.0,5.0,13.0,19.0,7.0
2010-01-27,1.0,5.0,-3.0,1.0,6.0,-4.0,,,,-1.0,5.0,-5.0,,,2,2,2,0.37,0.0,0.0,0.0,,87.0,99.0,62.0,2,2,2,,,,,,,8.0,15.0,3.0,11.0,20.0,3.0
2010-01-28,5.0,7.0,2.0,5.0,7.0,4.0,,,,3.0,4.0,2.0,,,2,2,2,0.57,0.73,0.73,0.73,,84.0,91.0,74.0,2,2,2,,,,,,,10.0,13.0,6.0,13.0,17.0,8.0
2010-01-29,3.0,5.0,-1.0,4.0,6.0,-1.0,,,,1.0,6.0,-4.0,,,2,2,2,0.38,6.15,6.15,6.15,,86.0,99.0,68.0,2,2,2,,,,,,,12.0,17.0,6.0,16.0,22.0,8.0
2010-01-30,0.0,3.0,-3.0,0.0,3.0,-3.0,,,,-4.0,-3.0,-5.0,,,2,2,2,0.45,0.0,0.0,0.0,,76.0,88.0,63.0,2,2,2,,,,,,,9.0,11.0,4.0,11.0,15.0,5.0
2010-01-31,-1.0,4.0,-4.0,-1.0,4.0,-4.0,,,,-3.0,-1.0,-5.0,,,2,2,2,0.25,0.0,0.0,0.0,,86.0,96.0,70.0,2,2,2,,,,,,,6.0,11.0,3.0,8.0,14.0,4.0
2010-02-01,0.0,5.0,-3.0,1.0,5.0,-1.0,,,,-1.0,0.0,-2.0,,,2,2,2,0.45,0.0,0.0,0.0,,82.0,95.0,60.0,2,2,2,,,,,,,9.0,14.0,5.0,12.0,18.0,7.0
2010-02-02,5.0,7.0,0.0,6.0,8.0,1.0,,,,5.0,7.0,0.0,,,2,2,2,0.34,1.37,1.37,1.37,,92.0,96.0,87.0,2,2,2,,,,,,,15.0,19.0,9.0,19.0,25.0,11.0
2010-02-03,4.0,8.0,2.0,5.0,8.0,3.0,,,,4.0,8.0,2.0,,,2,2,2,0.21,2.8,2.8,2.8,,95.0,99.0,90.0,2,2,2,,,,,,,8.0,17.0,2.0,10.0,23.0,3.0
2010-02-04,7.0,9.0,5.0,7.0,8.0,6.0,,,,6.0,7.0,4.0,,,2,2,2,0.44,1.78,1.78,1.78,,93.0,100.0,82.0,2,2,2,,,,,,,11.0,16.0,7.0,15.0,21.0,9.0
2010-02-05,7.0,11.0,4.0,7.0,10.0,5.0,,,,6.0,7.0,4.0,,,2,2,2,0.49,4.56,4.56,4.56,,90.0,98.0,74.0,2,2,2,,,,,,,10.0,14.0,6.0,14.0,19.0,8.0
2010-02-06,5.0,7.0,4.0,6.0,8.0,4.0,,,,4.0,5.0,3.0,,,2,2,2,0.41,1.21,1.21,1.21,,92.0,97.0,81.0,2,2,2,,,,,,,11.0,13.0,7.0,14.0,17.0,10.0
2010-02-07,4.0,5.0,2.0,4.0,5.0,2.0,,,,2.0,3.0,1.0,,,2,2,2,0.37,0.0,0.0,0.0,,90.0,96.0,80.0,2,2,2,,,,,,,6.0,11.0,2.0,8.0,14.0,3.0
2010-02-08,1.0,3.0,0.0,1.0,3.0,0.0,,,,0.0,1.0,-3.0,,,2,2,2,0.38,0.92,0.92,0.92,,87.0,91.0,81.0,2,2,2,,,,,,,13.0,17.0,6.0,17.0,23.0,8.0
2010-02-09,1.0,5.0,0.0,2.0,4.0,0.0,,,,-2.0,0.0,-4.0,,,2,2,2,0.78,0.0,0.0,0.0,,75.0,89.0,66.0,2,2,2,,,,,,,14.0,17.0,8.0,18.0,23.0,10.0
2010-02-10,1.0,3.0,-2.0,1.0,3.0,-1.0,,,,-3.0,0.0,-8.0,,,2,2,2,0.77,0.0,0.0,0.0,,74.0,90.0,49.0,2,2,2,,,,,,,14.0,19.0,9.0,19.0,26.0,12.0
2010-02-11,0.0,3.0,-1.0,0.0,3.0,-1.0,,,,-5.0,-3.0,-7.0,,,2,2,2,1.03,0.0,0.0,0.0,,67.0,83.0,49.0,2,2,2,,,,,,,16.0,22.0,7.0,22.0,29.0,9.0
2010-02-12,2.0,4.0,-1.0,2.0,4.0,0.0,,,,0.0,2.0,-2.0,,,2,2,2,0.49,0.48,0.48,0.48,,85.0,94.0,74.0,2,2,2,,,,,,,8.0,10.0,6.0,11.0,14.0,8.0
2010-02-13,2.0,4.0,0.0,2.0,3.0,1.0,,,,-2.0,1.0,-5.0,,,2,2,2,0.86,0.0,0.0,0.0,,76.0,88.0,59.0,2,2,2,,,,,,,11.0,16.0,6.0,15.0,21.0,8.0
2010-02-14,1.0,4.0,-2.0,2.0,4.0,-1.0,,,,1.0,2.0,-1.0,,,2,2,2,0.19,0.83,0.83,0.83,,93.0,99.0,86.0,2,2,2,,,,,,,5.0,8.0,2.0,6.0,10.0,3.0
2010-02-15,1.0,5.0,-4.0,2.0,4.0,-2.0,,,,1.0,4.0,-2.0,,,2,2,2,0.45,0.0,0.0,0.0,,93.0,100.0,78.0,2,2,2,,,,,,,5.0,10.0,1.0,6.0,13.0,1.0
